idLU,frameName,luName,origin,status,senseDescription,annotationset_count,annotation_count
253,frm_accompaniment,com.adp,WEBTOOL,CREATED,"na companhia de.",92,0
39513,frm_accompaniment,com.adv,WEBTOOL,CREATED,,13,0
32177,frm_accompaniment,com.cconj,WEBTOOL,CREATED,with.,0,0
26447,frm_accompaniment,sozinho.adj,WEBTOOL,CREATED,"estar sem companhia, na solidão.",42,0
48873,frm_accompaniment,sozinho.adv,FNBK,PENDING,"FN: Sozinho, por si só",0,0
40264,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",2,0
40265,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",1,2
40320,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",0,1
40321,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",0,2
49731,frm_achieving_first,pioneiro.adj,FNBK,PENDING,"FN: a atividade de ser pioneiro",0,0
49730,frm_achieving_first,pioneiro.noun,FNBK,PENDING,"FN: aquele que vai primeiro para um território desconhecido ou que é o primeiro a desenvolver um processo ou produto em um novo campo de pensamento",0,0
39952,frm_active_substance,agente.adj,WEBTOOL,CREATED,,4,0
44257,frm_active_substance,agente.noun,FNBK,PENDING,"FN: uma substância capaz de produzir um efeito",0,0
38031,frm_addiction,alcoolista.adj,WEBTOOL,CREATED,"pessoa que tem um hábito excessivo e crônico de consumo de álcool, frequentemente resultando em problemas físicos, sociais ou psicológicos.",0,0
41402,frm_addiction,alcoolista.adj,WEBTOOL,CREATED,"pessoa que tem um hábito excessivo e crônico de consumo de álcool, frequentemente resultando em problemas físicos, sociais ou psicológicos.",2,0
38846,frm_addiction,drogado.adj,WEBTOOL,CREATED,"fisicamente dependente de substância químicas. ",2,0
38845,frm_addiction,drogado.noun,WEBTOOL,CREATED,"aquele que possui um vício em alguma substância química. ",0,0
41401,frm_addiction,usuário.adj,WEBTOOL,CREATED,"adjetivo que caracteriza a pessoa que faz uso frequente de drogas.",30,0
38802,frm_addiction,usuário.noun,WEBTOOL,CREATED,"diz-se daquele que faz uso frequente de intoxicantes.",12,0
26240,frm_addiction,viciado.adj,WEBTOOL,CREATED,"Fisicamente dependente de uma substância em particular.",4,0
26208,frm_addiction,viciado.noun,WEBTOOL,CREATED,"Uma pessoa que é viciada em alguma coisa.",0,0
51531,frm_adjacency,vizinho.adj,FNBK,PENDING,"FN: em uma área adjacente.",0,0
22243,frm_adjacency,vizinho.noun,WEBTOOL,CREATED,"que está localizado perto",5,0
24849,frm_adjusting,adaptar.verb,WEBTOOL,CREATED,"ato de se enquadrar em uma nova situação.",6,0
43445,frm_adjusting,adaptar.verb,LOME,PENDING,,2,0
39886,frm_affirm_or_deny,positivo.adj,WEBTOOL,CREATED,,2,0
38995,frm_affirm_or_deny,positivo.noun,WEBTOOL,CREATED,"exprime uma afirmação ou confirmação.",5,0
22413,frm_aggregate,colônia.noun,WEBTOOL,CREATED,"grupo de migrantes que deixam sua terra de origem e vão povoar, cultivar e explorar uma terra estrangeira",2,0
43119,frm_aggregate,colônia.noun,USER,CREATED,"conjunto de organismos da mesma espécie que vivem fisicamente juntos.",0,0
18945,frm_aggregate,multiplicidade.noun,WEBTOOL,CREATED,multiplicity,0,0
22655,frm_aggregate,multiplicidade.noun,WEBTOOL,CREATED,"natureza do que é múltiplo, diverso",0,0
29126,frm_alternatives,ou.cconj,WEBTOOL,CREATED,"expressão que indica alternância, exclusão, dúvida, incerteza.",37,0
33315,frm_alternatives,possível.adj,WEBTOOL,CREATED,"Que preenche as condições necessárias para ser, existir ou realizar-se.",8,0
19019,frm_alternatives,possível.noun,WEBTOOL,CREATED,"possible, ",12,0
29369,frm_alternativity,"em vez de.cconj",WEBTOOL,CREATED,"ao invés de, em lugar de.",4,0
34975,frm_alternativity,ou.cconj,WEBTOOL,CREATED,"palavra que marca ideia de alternância.",12,0
3623,frm_ambient_temperature,frio.adj,WEBTOOL,CREATED,,5,0
22611,frm_ambient_temperature,frio.noun,WEBTOOL,CREATED,"baixa temperatura, geralmente abaixo de zero",4,0
43942,frm_amounting_to,total.adj,FNBK,PENDING,"COD: compreendendo o número ou quantidade inteira.",0,0
43941,frm_amounting_to,total.noun,FNBK,PENDING,"COD: número ou quantidade total",0,0
51499,frm_animals,cavalo-marinho.noun,FNBK,PENDING,"Um pequeno peixe marinho com armadura óssea segmentada, postura ereta, cauda enrolada e preensível, focinho tubular e cabeça e pescoço sugerindo um cavalo. O macho tem uma bolsa de criação na qual os ovos se desenvolvem.",0,0
52181,frm_animals,cavalo-marinho.noun,USER,PENDING,"Pequeno peixe ósseo que possui a cabeça alongada, parecida om a de um cavalo.",0,0
46185,frm_apply_heat,grelhar.noun,FNBK,PENDING,"FN: o processo de cozimento por calor direto, como em uma grelha ou sobre um fogo quente",0,0
46180,frm_apply_heat,grelhar.verb,FNBK,PENDING,"COD: cozinhe com um grelhador",0,0
40386,frm_architectural_part,torneira.noun,WEBTOOL,CREATED,"Peça usada para controlar o fluxo de água ou gás de um encanamento ou um recipiente.",2,0
40387,frm_architectural_part,torneira.noun,WEBTOOL,CREATED,"Peça usada para controlar o fluxo de água ou gás de um encanamento ou um recipiente.",2,2
43187,frm_arriving,vê.verb,LOME,PENDING,,1,0
43194,frm_arriving,vê.verb,LOME,PENDING,,1,0
32217,frm_artifact,mesa.noun,WEBTOOL,CREATED,table.,3,0
32218,frm_artifact,mesa.noun,WEBTOOL,CREATED,table.,1,0
44820,frm_artistic_style,visual.adj,FNBK,PENDING,"Um estilo artístico que pode ser experimentado pelo sentido visual do experimentador.",0,0
44818,frm_artistic_style,visual.noun,FNBK,PENDING,"FN: um estilo de um designer de moda",0,0
24139,frm_assistance,cuidar.verb,WEBTOOL,CREATED,"ação de zelar por algo, preservar.",29,0
49681,frm_assistance,cuidar.x,FNBK,PENDING,"O ato de tomar cuidado, estar vigilante por algo.",0,0
40858,frm_assistance,servir.noun,WEBTOOL,CREATED,"trabalhar em favor de alguém ou algo (não necessariamente remunerado).",1,0
46766,frm_assistance,servir.verb,FNBK,PENDING,"COD: desempenhar deveres ou serviços para.",0,0
40984,"frm_assistive technology",libras.noun,WEBTOOL,CREATED,"Sigla da Língua Brasileira de Sinais, língua de modalidade gestual-visual onde é possível se comunicar através de gestos, expressões faciais e corporais.",0,0
41011,"frm_assistive technology",libras.noun,WEBTOOL,CREATED,"*inserir texto*",0,0
48556,frm_attaching,amarrar.noun,FNBK,PENDING,"FN: a atividade de fixar ou prender",0,0
46061,frm_attaching,amarrar.verb,FNBK,PENDING,"COD: anexar ou prender com corda, fio, etc.",0,0
50495,frm_attributed_information,"de acordo com.adp",FNBK,PENDING,"COD: conforme declarado por ou em.",0,0
32252,frm_attributed_information,"de acordo com.sconj",WEBTOOL,CREATED,"according to.",6,0
24200,frm_attributes,qualidade.noun,WEBTOOL,CREATED,"atributo ou propriedade pela qual uma entidade ou uma pessoa se caracteriza",16,0
43535,frm_attributes,qualidade.noun,LOME,PENDING,,4,0
45818,frm_awareness,consciente.adj,FNBK,PENDING,"FN: ter consciência ou conhecimento de algo",0,0
40829,frm_awareness,consciente.noun,WEBTOOL,CREATED,"que está ciente, informado.",0,0
40599,frm_bedding,fronha.noun,WEBTOOL,CREATED,"capa de tecido utilizada em travesseiros.",0,2
40691,frm_bedding,fronha.noun,WEBTOOL,CREATED,"espécie de saco ou capa com que se envolve o travesseiro.",0,0
43336,frm_being_at_risk,insegurança.noun,LOME,PENDING,,2,0
43830,frm_being_at_risk,insegurança.noun,USER,CREATED,"ausência de segurança, de estabilidade ou de garantia.",1,0
26456,frm_being_at_risk,segurança.noun,WEBTOOL,CREATED,"estar fora do risco, protegido.",18,0
43355,frm_being_at_risk,segurança.noun,LOME,PENDING,,16,0
51376,frm_being_incarcerated,"cumprir pena.verb",FNBK,PENDING,"FN: ser encarcerado por um crime.",0,0
51378,frm_being_incarcerated,"cumprir pena.x",FNBK,PENDING,"FN: (slang) ser encarcerado.",0,0
48686,frm_being_named,codinome.adj,FNBK,PENDING,"FN: com o código de nome",0,0
48685,frm_being_named,codinome.noun,FNBK,PENDING,"FN: nome secreto geralmente dado por uma agência governamental oficial.",0,0
50516,frm_being_necessary,essencial.adj,FNBK,PENDING,"COD: absolutamente necessário; extremamente importante",0,0
26494,frm_being_necessary,essencial.noun,WEBTOOL,CREATED,"o que é necessário, precisa ser feito.",6,1
39828,frm_being_obligated,dever.noun,WEBTOOL,CREATED,,0,0
432,frm_being_obligated,dever.verb,WEBTOOL,CREATED,"ser obrigado a, ter que",104,0
39741,frm_being_obligatory,dever.noun,WEBTOOL,CREATED,,11,0
274,frm_being_obligatory,dever.verb,WEBTOOL,CREATED,"Ter a obrigação de realizar algo",10,0
44551,frm_besieging,cerco.noun,FNBK,PENDING,"FN: o ato ou processo de cerco a.",0,0
51000,frm_besieging,cerco.verb,FNBK,PENDING,"FN: cercar.",0,0
48742,frm_body_description_part,albino.adj,FNBK,PENDING,"COD: tendo uma ausência congênita de pigmento na pele e no cabelo (que são brancos) e nos olhos (que são normalmente rosados)",0,0
48741,frm_body_description_part,albino.noun,FNBK,PENDING,"COD: uma pessoa ou animal que possui uma ausência congênita de pigmento na pele e no cabelo (que são brancos) e nos olhos (que geralmente são rosados).",0,0
33301,frm_body_description_part,loiro.adj,WEBTOOL,CREATED,"Que possui cabelo loiro.",1,2
48736,frm_body_description_part,loiro.noun,FNBK,PENDING,"COD: uma pessoa de cabelo loiro",0,0
39339,frm_body_description_part,moreno.adj,WEBTOOL,CREATED,"aquele cuja cor de cabelo varia entre o castanho-escuro e o preto.",3,0
48737,frm_body_description_part,moreno.noun,FNBK,PENDING,"COD: uma pessoa de cabelo castanho escuro",0,0
40451,frm_body_description_part,ruivo.adj,WEBTOOL,CREATED,"Que tem a cor vermelho-fogo, amarelo-avermelhado.",1,1
48739,frm_body_description_part,ruivo.noun,FNBK,PENDING,"COD: uma pessoa, especialmente uma mulher, com cabelo ruivo.",0,0
40535,frm_body_movement,piscar.noun,WEBTOOL,CREATED,"Ato de fechar abrir os olhos.",0,0
40731,frm_body_movement,piscar.verb,WEBTOOL,CREATED,"ação de abrir e fechar os olhos.",1,0
32315,frm_body_parts,cintura.noun,WEBTOOL,CREATED,waist.,2,0
35454,frm_body_parts,cintura.noun,WEBTOOL,CREATED,"parte do corpo pertencente ao tronco e que liga os membros. ",1,0
42610,frm_body_parts,pênis.noun,WEBTOOL,CREATED,"órgão sexual masculino.",8,0
52052,frm_body_parts,pênis.noun,FNBK,PENDING,,0,0
35397,frm_body_parts,tireoide.noun,WEBTOOL,CREATED,"glândula endócrina localizada na região do pescoço responsável pela produção dos hormônios T3 e T4.",5,1
40391,frm_body_parts,tireoide.noun,WEBTOOL,CREATED,"glândula pequena, em forma de borboleta, localizada na parte anterior do pescoço, sob a pele e abaixo do pomo-de-adão",0,0
39933,frm_breaking_off,quebrar.noun,WEBTOOL,CREATED,,2,0
453,frm_breaking_off,quebrar.verb,WEBTOOL,CREATED,"soltar um pedaço, partir",29,0
22525,frm_building_subparts,andar.noun,WEBTOOL,CREATED,"um pavimento ou piso em um prédio",16,0
40365,frm_building_subparts,andar.noun,WEBTOOL,CREATED,"Cada um dos níveis de um prédio, edifício.",3,0
24099,frm_building_subparts,térreo.adj,WEBTOOL,CREATED,"designação do primeiro andar de um prédio.",1,0
48368,frm_building_subparts,térreo.noun,FNBK,PENDING,"o chão de um edifício no nível do solo.",0,0
35771,frm_calendric_unit,amanhã.adv,WEBTOOL,CREATED,"dia seguinte ao presente.",8,0
48710,frm_calendric_unit,amanhã.noun,FNBK,PENDING,"COD: o dia após hoje",0,0
46164,frm_calendric_unit,amanhecer.noun,FNBK,PENDING,"COD: amanhecer",0,0
35772,frm_calendric_unit,amanhecer.verb,WEBTOOL,CREATED,"raiar a manhã, ter início o dia ou começar o dia.",0,0
3595,frm_calendric_unit,hoje.adv,WEBTOOL,CREATED,"no dia corrente",76,0
18657,frm_calendric_unit,hoje.noun,WEBTOOL,CREATED,today.n,40,0
28148,frm_calendric_unit,maio.noun,WEBTOOL,CREATED,"5º mês do ano.",10,0
48716,frm_calendric_unit,maio.noun,FNBK,PENDING,"COD: o quinto mês do ano. Padrões como: Calendric_unit.Abril.n",0,0
18684,frm_calendric_unit,ontem.adv,WEBTOOL,CREATED,Yesterday,30,0
48709,frm_calendric_unit,ontem.noun,FNBK,PENDING,"COD: o dia anterior a hoje",0,0
35768,frm_calendric_unit,quarta-feira.noun,WEBTOOL,CREATED,"quarto dia da semana a partir do domingo, o dia do meio da semana.",8,0
43812,frm_calendric_unit,quarta-feira.noun,USER,CREATED,"quarto dia da semana.",0,0
24472,frm_capability,capacitar.verb,WEBTOOL,CREATED,"processo de treinamento e aperfeiçoamento para a realização de um trabalho ou atividade.",3,0
43086,frm_capability,capacitar.verb,USER,CREATED,"passar por um processo que torna uma pessoa apta ou capacitada.",1,0
43315,frm_capability,"cerca de.adp",LOME,PENDING,,1,0
43322,frm_capability,"cerca de.verb",LOME,PENDING,,1,0
39438,frm_capability,poder.adj,WEBTOOL,CREATED,,13,0
44102,frm_capability,poder.noun,FNBK,PENDING,"FN: a capacidade de realizar as ações necessárias em um evento.",0,0
247,frm_capability,poder.verb,WEBTOOL,CREATED,"ter a capacidade de realizar uma ação.",154,0
50338,frm_capability,potencial.adj,FNBK,PENDING,"FN: algo caracterizado como tendo a capacidade de se desenvolver em algo mais",0,0
40839,frm_capability,potencial.noun,WEBTOOL,CREATED,"capacidade de realização, de produção, de execução; potencialidade.",3,0
40072,frm_cardinal_numbers,cinco.noun,WEBTOOL,CREATED,,2,0
18666,frm_cardinal_numbers,cinco.num,WEBTOOL,CREATED,"número cardinal que sucede o quatro e antecede o seis.",35,0
43689,frm_cardinal_numbers,"com certeza.num",LOME,PENDING,,1,0
43690,frm_cardinal_numbers,"com certeza.num",LOME,PENDING,,1,0
43698,frm_cardinal_numbers,"com certeza.num",LOME,PENDING,,1,0
43700,frm_cardinal_numbers,"com certeza.num",LOME,PENDING,,1,0
43399,frm_cardinal_numbers,diálogos.num,LOME,PENDING,,1,0
43411,frm_cardinal_numbers,diálogos.num,LOME,PENDING,,1,0
43419,frm_cardinal_numbers,diálogos.num,LOME,PENDING,,1,0
43422,frm_cardinal_numbers,diálogos.num,LOME,PENDING,,1,0
34781,frm_cardinal_numbers,"dois mil.num",WEBTOOL,CREATED,"Número composto por dois milhares.",16,0
43310,frm_cardinal_numbers,"dois mil.num",LOME,PENDING,,2,0
39238,frm_cardinal_numbers,dois.noun,WEBTOOL,CREATED,,40,3
3800,frm_cardinal_numbers,dois.num,WEBTOOL,CREATED,"número cardinal que sucede o um e antecede o três.",177,0
43674,frm_cardinal_numbers,enfrentar.num,LOME,PENDING,,1,0
43675,frm_cardinal_numbers,enfrentar.num,LOME,PENDING,,1,0
43620,frm_cardinal_numbers,gasta.num,LOME,PENDING,,1,0
43624,frm_cardinal_numbers,gasta.num,LOME,PENDING,,1,0
43651,frm_cardinal_numbers,gastos.num,LOME,PENDING,,1,0
43652,frm_cardinal_numbers,gastos.num,LOME,PENDING,,1,0
43653,frm_cardinal_numbers,gastos.num,LOME,PENDING,,1,0
43460,frm_cardinal_numbers,leias.num,LOME,PENDING,,1,0
43463,frm_cardinal_numbers,leias.num,LOME,PENDING,,1,0
43466,frm_cardinal_numbers,leias.num,LOME,PENDING,,1,0
43490,frm_cardinal_numbers,leias.num,LOME,PENDING,,1,0
39925,frm_cardinal_numbers,meio.adj,WEBTOOL,CREATED,,1,0
29073,frm_cardinal_numbers,meio.noun,WEBTOOL,CREATED,"metade de um.",10,0
48619,frm_cardinal_numbers,"quarenta e cinco.noun",FNBK,PENDING,"9x5, o número que precede 46, e após 44.",0,0
34480,frm_cardinal_numbers,"quarenta e cinco.num",WEBTOOL,CREATED,"número cardinal que sucede o quarenta e quatro e antecede o quarenta e seis.",3,0
48618,frm_cardinal_numbers,quatorze.noun,FNBK,PENDING,"COD: equivalente ao produto de sete e dois; um a mais que treze, ou seis a menos que vinte; 14.",0,0
22906,frm_cardinal_numbers,quatorze.num,WEBTOOL,CREATED,"número cardinal que sucede o treze e antecede o quinze.",6,0
39916,frm_cardinal_numbers,quatro.noun,WEBTOOL,CREATED,,6,0
18590,frm_cardinal_numbers,quatro.num,WEBTOOL,CREATED,"número cardinal que sucede o três e antecede o cinco.",36,0
43712,frm_cardinal_numbers,realmente.num,LOME,PENDING,,1,0
43713,frm_cardinal_numbers,realmente.num,LOME,PENDING,,1,0
42513,frm_cardinal_numbers,setecentos.noun,WEBTOOL,CREATED,"número cardinal que sucede o seiscentos e noventa e nove, e antecede o setecentos e um.",4,0
43697,frm_cardinal_numbers,setecentos.num,LOME,PENDING,,2,0
28910,frm_cardinal_numbers,"trinta e dois.num",WEBTOOL,CREATED,"número cardinal que sucede o trinta e um e antecede o trinta e três.",0,0
43311,frm_cardinal_numbers,"trinta e dois.num",LOME,PENDING,,2,0
22921,frm_cardinal_numbers,"vinte e cinco.num",WEBTOOL,CREATED,"número cardinal que sucede o vinte e quatro e antecede o vinte e seis.",10,0
43296,frm_cardinal_numbers,"vinte e cinco.num",LOME,PENDING,,4,0
28878,frm_cardinal_numbers,"vinte e três.num",WEBTOOL,CREATED,"número cardinal que sucede o vinte e dois e antecede o vinte e quatro.",6,0
43211,frm_cardinal_numbers,"vinte e três.num",LOME,PENDING,,4,0
46098,frm_cardinal_numbers,vinte.noun,FNBK,PENDING,"COD: um grupo ou conjunto de vinte",0,0
22923,frm_cardinal_numbers,vinte.num,WEBTOOL,CREATED,"número cardinal que sucede o dezenove e antecede o vinte e um.",20,0
43695,frm_catastrophe,calamidade.noun,LOME,PENDING,,2,0
43783,frm_catastrophe,calamidade.noun,USER,CREATED,"desastre em grande escala.",1,0
43647,frm_categorization,gastos.adp,LOME,PENDING,,1,0
43655,frm_categorization,gastos.det,LOME,PENDING,,1,0
18801,frm_causation,assim.cconj,WEBTOOL,CREATED,"so. thus.",4,0
46949,frm_causation,"desde que.cconj",FNBK,PENDING,"COD: pelo motivo de; porque.",0,0
34489,frm_causation,então.cconj,WEBTOOL,CREATED,portanto.,62,1
43514,frm_causation,municipal.det,LOME,PENDING,,1,0
43515,frm_causation,municipal.det,LOME,PENDING,,1,0
46952,frm_causation,"para que.cconj",FNBK,PENDING,"FN: a fim de, causando",0,0
46950,frm_causation,porque.cconj,FNBK,PENDING,"Porque; visto que",0,0
18640,frm_causation,porque.sconj,WEBTOOL,CREATED,"já que, visto que.",43,0
46958,frm_causation,portanto.adv,FNBK,PENDING,"por esse motivo; consequentemente.",0,0
29127,frm_causation,portanto.cconj,WEBTOOL,CREATED,"expressão que introduz uma ideia de conclusão de um raciocínio ou exposição de motivos anterior. O mesmo que logo, por conseguinte, consequentemente, por isso, assim sendo, desse modo, pois.",3,0
43502,frm_causation,portas.det,LOME,PENDING,,1,0
43503,frm_causation,portas.det,LOME,PENDING,,1,0
45415,frm_causation,responsável.adj,FNBK,PENDING,"FN: responsável por algo que aconteceu",0,0
19052,frm_causation,responsável.noun,WEBTOOL,CREATED,"cuja existência ou aspecto interfere na existência ou aspecto de outra entidade.",4,0
18860,frm_causation,resultado.noun,WEBTOOL,CREATED,result,6,0
28482,frm_causation,resultado.noun,WEBTOOL,CREATED,"Produto, efeito ou consequência de uma ação.",2,0
43629,frm_cause_change,reverter.verb,LOME,PENDING,,2,0
43733,frm_cause_change,reverter.verb,USER,CREATED,"transformar ou retornar algo ao estado inicial.",1,0
42510,frm_cause_to_be_clean,limpeza.adj,WEBTOOL,CREATED,"ato ou processo de limpar algo.",2,0
42595,frm_cause_to_be_clean,limpeza.noun,WEBTOOL,CREATED,"ato de remover sujeira, impurezas ou desordem, deixando algo limpo, organizado e higienizado.",3,0
48093,frm_certainty,cético.adj,FNBK,PENDING,"FN: reservando julgamento quanto à verdade de.",0,0
48095,frm_certainty,cético.noun,FNBK,PENDING,"COD: uma pessoa inclinada a questionar ou duvidar de opiniões aceitas.",0,0
43680,frm_certainty,"com certeza.adp",LOME,PENDING,,2,0
33249,frm_certainty,"com certeza.adv",WEBTOOL,CREATED,Certamente,10,0
32388,frm_change_operational_state,ligar.verb,WEBTOOL,CREATED,"turn on.",7,0
32389,frm_change_operational_state,ligar.verb,WEBTOOL,CREATED,"turn on.",0,0
32390,frm_change_operational_state,ligar.verb,WEBTOOL,CREATED,"turn on.",1,0
39957,frm_closure,abrir.noun,WEBTOOL,CREATED,,2,0
24854,frm_closure,abrir.verb,WEBTOOL,CREATED,"remover o fechamento de algo.",113,1
32398,frm_clothing,camiseta.noun,WEBTOOL,CREATED,t-shirt.,3,4
33653,frm_clothing,camiseta.noun,WEBTOOL,CREATED,,3,5
39254,frm_clothing,tecido.adj,WEBTOOL,CREATED,,0,0
27406,frm_clothing,tecido.noun,WEBTOOL,CREATED,"produto final da tecelagem de fios de algodão, seda, lã ou sintéticos, usado para confeccionar vestimenta, embalagem etc.",12,8
49804,frm_collaboration,conluio.adj,FNBK,PENDING,"COD: conspirando ou conspirando juntos em segredo",0,0
49808,frm_collaboration,conluio.noun,FNBK,PENDING,"COD: cooperação secreta ou ilegal com o objetivo de enganar ou enganar os outros",0,0
43021,frm_color,anil.adj,WEBTOOL,CREATED,"de um tom de azul como o produzido por extração da substância das folhas da anileira.",1,0
43023,frm_color,anil.noun,WEBTOOL,CREATED,"tom de azul produzido por extração da substância das folhas da anileira.",0,0
38793,frm_color,laranja.adj,WEBTOOL,CREATED,"cor de laranja é uma cor terciária nos sistemas RGB e CMYK. ",24,0
41867,frm_color,laranja.noun,WEBTOOL,CREATED,"cor quente que significa alegria, vitalidade, prosperidade e sucesso; resultado da mistura das cores primárias vermelho e amarelo.",9,0
49850,frm_color,rosa.adj,FNBK,PENDING,"COD: de uma cor intermediária entre o vermelho e o branco, como de coral ou salmão.",0,0
40131,frm_color,rosa.noun,WEBTOOL,CREATED,"cor vermelha mais clara, normalmente obtida pela mistura do vermelho com o branco, semelhante à cor de algumas rosas",19,5
33352,frm_commerce_pay,pagar.verb,WEBTOOL,CREATED,"entregar ou restituir (uma quantia que se deve).",72,0
43063,frm_commerce_pay,pagar.verb,USER,CREATED,"entregar a alguém uma quantia em dinheiro, ou equivalente, em troca de um bem ou serviço.",1,0
35062,frm_commonality,como.cconj,WEBTOOL,CREATED,"semelhante a.",14,0
42959,frm_completeness,complementar.adj,WEBTOOL,CREATED,"que forma um todo integrado quando associado a outro elemento.",1,0
32074,frm_completeness,complementar.verb,WEBTOOL,CREATED,"Ato de acrescentar, completar o que falta.",1,0
51170,frm_concessive,"apesar de.adp",FNBK,PENDING,"Apesar de",0,0
32435,frm_concessive,"apesar de.sconj",WEBTOOL,CREATED,"despite, in spite of",0,0
18707,frm_concessive,mas.cconj,WEBTOOL,CREATED,"porém, todavia, contudo.",126,0
42135,frm_concessive,mas.cconj,WEBTOOL,CREATED,"porém, todavia, contudo.",14,0
42450,frm_concessive,mesmo.adv,WEBTOOL,CREATED,"ainda que.",1,0
34974,frm_concessive,mesmo.sconj,WEBTOOL,CREATED,"palavra usada para ligar sentenças que admite um fato contrário à ação principal, mas é incapaz de impedi-la.",5,0
51173,frm_concessive,"no entanto.adv",FNBK,PENDING,"Apesar disso",0,0
29110,frm_concessive,"no entanto.sconj",WEBTOOL,CREATED,"marca de adversão, oposição, restrição. O mesmo que todavia, contudo, mas, porém, no entanto.",3,0
36450,frm_concessive,"pelo contrário.cconj",WEBTOOL,CREATED,"de outro modo, ao contrário, de maneira oposta.",1,0
19432,frm_confronting_problem,enfrentar.verb,WEBTOOL,CREATED,vivenciar,9,0
44682,frm_confronting_problem,enfrentar.verb,FNBK,PENDING,"FN: colocar-se na posição de entender e lidar com algo desagradável.",0,0
51268,frm_contrary_circumstances,"apesar de.adp",FNBK,PENDING,"FN: apesar da oposição ou adversidade",0,0
29326,frm_contrary_circumstances,"apesar de.adv",WEBTOOL,CREATED,"não obstante. Indica, no sintagma ou sentença em que entra, uma ideia oposta à expressa na outra parte da afirmação, contrária a uma expectativa provável.",22,0
45319,frm_contrast,mas.cconj,FNBK,PENDING,"adicionar uma declaração com um conteúdo diferente do que foi dito antes",0,0
52174,frm_contrast,"no entanto.cconj",FNBK,PENDING,"adicionar uma declaração com um conteúdo diferente do que foi dito antes",0,0
52173,frm_contrast,porém.cconj,FNBK,PENDING,"adicionar uma declaração com um conteúdo diferente do que foi dito antes",0,0
19539,frm_contrition,remorso.adj,WEBTOOL,CREATED,"estar cheio de remorso",0,0
19538,frm_contrition,remorso.noun,WEBTOOL,CREATED,"sentimento de arrependimento e tristeza",0,0
48924,frm_cooking_creation,assar.noun,FNBK,PENDING,"FN: o processo de cozimento de alimentos por calor seco, normalmente em um forno",0,0
19556,frm_cooking_creation,assar.verb,WEBTOOL,CREATED,"ação de cozinhar alimentos",1,0
